User,org:resource,concept:name,Cumulative net worth (EUR),time:timestamp,case:Spend area text,case:Company,case:Document Type,case:Sub spend area text,case:Purchasing Document,case:Purch. Doc. Category name,case:Vendor,case:Item Type,case:Item Category,case:Spend classification text,case:Source,case:Name,case:GR-Based Inv. Verif.,case:Item,case:concept:name,case:Goods Receipt
batch_00,batch_00,SRM: Created,298.0,2018-01-02 12:53:00+00:00,CAPEX & SOCS,companyID_0000,EC Purchase order,Facility Management,2000000000,Purchase order,vendorID_0000,Standard,"3-way match, invoice before GR",NPR,sourceSystemID_0000,vendor_0000,False,00001,2000000000_00001,True
batch_00,batch_00,SRM: Complete,298.0,2018-01-02 13:53:00+00:00,CAPEX & SOCS,companyID_0000,EC Purchase order,Facility Management,2000000000,Purchase order,vendorID_0000,Standard,"3-way match, invoice before GR",NPR,sourceSystemID_0000,vendor_0000,False,00001,2000000000_00001,True
batch_00,batch_00,SRM: Awaiting Approval,298.0,2018-01-02 13:53:00+00:00,CAPEX & SOCS,companyID_0000,EC Purchase order,Facility Management,2000000000,Purchase order,vendorID_0000,Standard,"3-way match, invoice before GR",NPR,sourceSystemID_0000,vendor_0000,False,00001,2000000000_00001,True
batch_00,batch_00,SRM: Document Completed,298.0,2018-01-02 13:53:00+00:00,CAPEX & SOCS,companyID_0000,EC Purchase order,Facility Management,2000000000,Purchase order,vendorID_0000,Standard,"3-way match, invoice before GR",NPR,sourceSystemID_0000,vendor_0000,False,00001,2000000000_00001,True
batch_00,batch_00,SRM: In Transfer to Execution Syst.,298.0,2018-01-02 13:53:00+00:00,CAPEX & SOCS,companyID_0000,EC Purchase order,Facility Management,2000000000,Purchase order,vendorID_0000,Standard,"3-way match, invoice before GR",NPR,sourceSystemID_0000,vendor_0000,False,00001,2000000000_00001,True
batch_00,batch_00,SRM: Ordered,298.0,2018-01-02 13:53:00+00:00,CAPEX & SOCS,companyID_0000,EC Purchase order,Facility Management,2000000000,Purchase order,vendorID_0000,Standard,"3-way match, invoice before GR",NPR,sourceSystemID_0000,vendor_0000,False,00001,2000000000_00001,True
batch_00,batch_00,SRM: Change was Transmitted,298.0,2018-01-02 13:53:00+00:00,CAPEX & SOCS,companyID_0000,EC Purchase order,Facility Management,2000000000,Purchase order,vendorID_0000,Standard,"3-way match, invoice before GR",NPR,sourceSystemID_0000,vendor_0000,False,00001,2000000000_00001,True
user_000,user_000,Create Purchase Order Item,298.0,2018-01-02 13:53:00+00:00,CAPEX & SOCS,companyID_0000,EC Purchase order,Facility Management,2000000000,Purchase order,vendorID_0000,Standard,"3-way match, invoice before GR",NPR,sourceSystemID_0000,vendor_0000,False,00001,2000000000_00001,True
NONE,NONE,Vendor creates invoice,298.0,2018-01-02 22:59:00+00:00,CAPEX & SOCS,companyID_0000,EC Purchase order,Facility Management,2000000000,Purchase order,vendorID_0000,Standard,"3-way match, invoice before GR",NPR,sourceSystemID_0000,vendor_0000,False,00001,2000000000_00001,True
user_000,user_000,Record Goods Receipt,298.0,2018-03-06 06:44:00+00:00,CAPEX & SOCS,companyID_0000,EC Purchase order,Facility Management,2000000000,Purchase order,vendorID_0000,Standard,"3-way match, invoice before GR",NPR,sourceSystemID_0000,vendor_0000,False,00001,2000000000_00001,True
user_001,user_001,Record Invoice Receipt,298.0,2018-03-06 07:53:00+00:00,CAPEX & SOCS,companyID_0000,EC Purchase order,Facility Management,2000000000,Purchase order,vendorID_0000,Standard,"3-way match, invoice before GR",NPR,sourceSystemID_0000,vendor_0000,False,00001,2000000000_00001,True
user_002,user_002,Clear Invoice,298.0,2018-03-29 13:06:00+00:00,CAPEX & SOCS,companyID_0000,EC Purchase order,Facility Management,2000000000,Purchase order,vendorID_0000,Standard,"3-way match, invoice before GR",NPR,sourceSystemID_0000,vendor_0000,False,00001,2000000000_00001,True
batch_00,batch_00,SRM: Created,28.0,2018-01-08 06:21:00+00:00,Enterprise Services,companyID_0000,EC Purchase order,Office Supplies,2000000003,Purchase order,vendorID_0003,Standard,"3-way match, invoice before GR",NPR,sourceSystemID_0000,vendor_0003,False,00001,2000000003_00001,True
batch_00,batch_00,SRM: Complete,28.0,2018-01-08 07:21:00+00:00,Enterprise Services,companyID_0000,EC Purchase order,Office Supplies,2000000003,Purchase order,vendorID_0003,Standard,"3-way match, invoice before GR",NPR,sourceSystemID_0000,vendor_0003,False,00001,2000000003_00001,True
batch_00,batch_00,SRM: Awaiting Approval,28.0,2018-01-08 07:21:00+00:00,Enterprise Services,companyID_0000,EC Purchase order,Office Supplies,2000000003,Purchase order,vendorID_0003,Standard,"3-way match, invoice before GR",NPR,sourceSystemID_0000,vendor_0003,False,00001,2000000003_00001,True
batch_00,batch_00,SRM: Document Completed,28.0,2018-01-08 07:21:00+00:00,Enterprise Services,companyID_0000,EC Purchase order,Office Supplies,2000000003,Purchase order,vendorID_0003,Standard,"3-way match, invoice before GR",NPR,sourceSystemID_0000,vendor_0003,False,00001,2000000003_00001,True
batch_00,batch_00,SRM: In Transfer to Execution Syst.,28.0,2018-01-08 07:21:00+00:00,Enterprise Services,companyID_0000,EC Purchase order,Office Supplies,2000000003,Purchase order,vendorID_0003,Standard,"3-way match, invoice before GR",NPR,sourceSystemID_0000,vendor_0003,False,00001,2000000003_00001,True
